CH4,H2,C2H4,C2H6,Mg,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,Y,La,Ce,Pr,Nd,Sm,Gd,BI,PE,RS,SP
0.327199052642531,9394.2836,7.8673,9.5027,0.20660365308468517,0.0,0.0,0.0,0.0,0.20430450887725127,0.20717843913654363,0.2044322391109976,0.17748115979052242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.10216982010813136,2298.8185999999996,20.4241,13.922699999999999,0.29140608530672474,0.0,0.0,0.0,0.0,0.19028880612746818,0.18719696437355068,0.17497013561942237,0.15613800857283394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.47885396718839074,12846.1931,9.4801,10.4427,0.19718111346018322,0.0,0.0,0.0,0.0,0.2882311486962649,0.19105003523608174,0.1609584214235377,0.16257928118393233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4746197813433457,12024.0926,8.2897,9.5627,0.1995870612525809,0.0,0.0,0.0,0.0,0.18138716831077467,0.2710101705284087,0.19102240575055443,0.15699319415768145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.18130323355676264,3428.9215999999997,10.0369,11.5227,0.18020142784293727,0.0,0.0,0.0,0.0,0.18332483426823049,0.18306986231514535,0.28359255481896994,0.169811320754717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3869381851786496,9819.4031,12.6673,13.1827,0.18340458336253418,0.0,0.0,0.0,0.0,0.18697876515523162,0.18186277945195878,0.1883804050739365,0.25937346695633895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.07413318368335912,1390.7816,28.641699999999997,23.0427,0.0,0.0,0.1921814809530603,0.20338136681409613,0.20701954629761732,0.2061635040662006,0.19125410186902556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.07364014451116854,1752.0191,25.1665,20.6827,0.0,0.0,0.25847669355414377,0.18331072881718893,0.18545220929402526,0.19201941608965664,0.18074095224498538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.11955420244876096,2246.3441,24.6481,24.622700000000002,0.0,0.0,0.17138289368505194,0.2683453237410072,0.1886490807354117,0.19208633093525182,0.1795363709032774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.10547930469321455,1587.7511,35.534499999999994,35.6227,0.0,0.0,0.1730101073910297,0.17987997473152245,0.2781111813013266,0.1920404295641188,0.17695830701200255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.12502832129610833,4579.5581,38.1265,23.782700000000002,0.0,0.0,0.17884710133026774,0.17966825422893748,0.18525209393989162,0.2810806372146494,0.1751519132862539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.10012464642621198,2882.8826,33.2689,26.282700000000002,0.0,0.0,0.17834250810647764,0.18347032652137849,0.18754241761556448,0.19055878138903554,0.26008596636754394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.08913197543925144,4239.6146,18.7729,10.2227,0.17809682012339823,0.1667062173706692,0.0,0.16385856668248694,0.0,0.16267204556241102,0.17026578073089702,0.0,0.15840056953013765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.135374877412396,5165.9036,16.9489,11.7827,0.2462141268664619,0.16138938896537117,0.0,0.13883299798792756,0.0,0.14645769352959861,0.15598856295668748,0.0,0.15111722969395316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.08706676859133604,3150.5786,21.6721,13.1227,0.14935148324129957,0.23963015281880054,0.0,0.1456273275972775,0.0,0.14845254912032874,0.15384615384615385,0.0,0.1630923333761397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.03630033090799843,581.6096,26.7793,25.2027,0.15740318906605924,0.16059225512528474,0.0,0.21548974943052396,0.0,0.14874715261958998,0.1593394077448747,0.0,0.15842824601366742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.08718478560065214,3060.0790999999995,26.222499999999997,15.5427,0.15392609699769055,0.16270207852193996,0.0,0.15161662817551963,0.0,0.22344110854503468,0.1561200923787529,0.0,0.15219399538106237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
